indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2015,2544136348540.18,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2014,2905075942181.63,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2013,2857872049304.91,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2012,2793775680472.15,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2011,2559855182439.78,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '1A', 'value': 'Arab World'}",ARB,2010,2154252309110.19,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2023,53252637669.8953,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2022,48138054138.9849,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2021,36706592898.6925,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2020,31378030000.782,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2019,37621010338.3616,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2018,36225416548.2006,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2017,34921587493.3397,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2016,33451252507.2663,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2015,34538256117.6859,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2014,33462282320.5238,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2013,32390809157.2923,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2012,32052386052.2943,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2011,30344564229.3382,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2010,29715534449.1747,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2023,2252970882003.43,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2022,1943576044705.41,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2021,1908203520080.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2020,1665817489087.96,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2019,1674815945871.77,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2018,1649014249607.31,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2017,1461567745963.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2016,1316821592128.16,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2015,1293623329358.52,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2014,1463823020682.85,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2013,1417557275930.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2012,1359052936743.23,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2011,1454732403908.46,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2010,1316548010141.42,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2023,14847823837515.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2022,14131148776107.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2021,12771307369960.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2020,10981013167791.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2019,11767656585558.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2018,11524427704062.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2017,11393447781978.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2016,10537028724316.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2015,10237020101449.3,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2014,10766609704140.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2013,10406754465041.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2012,10261753916720.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2011,9813800566552.76,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2010,8708208712873.16,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2023,30775659199419.9,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2022,30663750183419.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2021,31148240510250.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2020,27156482410418.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2019,27032494942206.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2018,26487859556590.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2017,24329094912610.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2016,22776012762509.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2015,21995274219766.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2014,22089701789223.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2013,21411284057214.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2012,21174178691967.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2011,19796933123174.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2010,17078057240005.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2023,21150247849983.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2022,21113809331055.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2021,20840018387172.9,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2020,17487334631867.3,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2019,17213215781553.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2018,16640354816152.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2017,14881098135429.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2016,13614572556661.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2015,13323235973753.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2014,12800187429285.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2013,11870059931822.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2012,10759908112898.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2011,9650693739294.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2010,7900541542589.84,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2023,21124121301342.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2022,21087707522778.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2021,20814269278438.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2020,17465773779184.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2019,17192020073785.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2018,16619890220308.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2017,14862823962899.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2016,13597889126598.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2015,13306887306272.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2014,12784467992142.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2013,11855481580395.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2012,10746721177079.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2011,9638846002337.58,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2010,7890862049222.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2023,15544858680873.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2022,14224347000135.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2021,14754625131073.3,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2020,13155164142399.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2019,13481146122147.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2018,13761117139592.9,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2017,12736901061170.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2016,12025904489799.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2015,11727106023830.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2014,13570070381398.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2013,13255654454944.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2012,12695678622498.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2011,13700831614329.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'XC', 'value': 'Euro area'}",EMU,2010,12700582110966.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2023,27240628835585.3,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2022,25389267749916.0,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2021,25331394418403.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2020,22156549343244.9,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2019,22908223277507.4,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2018,23188735732226.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2017,21652842504644.6,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2016,20408605606979.3,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2015,20481460301210.5,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2014,23784373303750.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2013,23454990403618.1,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2012,22453705241187.9,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2011,23305973325589.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2010,21016513112950.8,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2023,2098349713814.25,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2022,1803038234535.2,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2021,1659440839146.7,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2020,1428327223229.53,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2019,1488770219744.96,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2018,1459981302399.66,,,0
"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",ECA,2017,1485108260761.97,,,0
